IMDB_ID,TITLE_TW,NICK_NAME,TITLE_EN,DATE_TW,COUNTRY,IMDB_RATING,IMDB_GENRE,IMDB_BUDGET,IMDB_RUNTIME,DIRECTOR,DIRETCOR_OSCAR,DIRECTOR_WINS,DIRECTOR_NOMINATIONS,DIRECTOR_RATINGS,STAR_1,STAR_1_OSCARS,STAR_1_WINS,STAR_1_NOMINATIONS,STAR_1_RATINGS,STAR_2,STAR_2_OSCARS,STAR_2_WINS,STAR_2_NOMINATIONS,STAR_2_RATINGS,STAR_3,STAR_3_OSCARS,STAR_3_WINS,STAR_3_NOMINATIONS,STAR_3_RATINGS,YAHOO_EVALUATION,YAHOO_VOTER,PTT_ARTICLE,PTT_PUSH,PTT_ARROW,PTT_PULL,PTT_REPLY,YOUTUBE_VIEW,YOUTUBE_LIKE,YOUTUBE_DISLIKE
tt4960242,北京遇上西雅圖之不二情書,北京遇上西雅圖之不二情書/不二情書/北京遇上西雅圖,Beijing yu shang: Xiyatu 2,2016/5/13,China,6.4,Romance,NA,132,Xiaolu Xue,0,2,7,6.95,Wei Tang,0,15,29,6.625,Xiubo Wu,0,5,7,7.4,Zhihong Liu,0,0,0,6.4,4.5,262,,,,,,277790,176,10
tt5284414,少女與戰車劇場版,少女與戰車劇場版/少女與戰車,Girls und Panzer the Movie,2016/5/13,Japan,7.6,Animation,NA,119,Tsutomu Mizushima,0,0,1,7.7,Mai Fuchigami,0,0,0,7.975,Ai Kayano,0,0,0,7.55,Mami Ozaki,0,0,0,7.625,3.7,125,,,,,,16542,58,6
tt3385516,X戰警：天啟,X戰警：天啟/X戰警/天啟,X-Men: Apocalypse,2016/5/18,USA,7,"Action,Adventure,Sci-Fi",178000000,144,Bryan Singer,0,14,19,8.225,James McAvoy,0,11,28,7.375,Michael Fassbender,0,76,136,7.775,Jennifer Lawrence,0,114,170,7.375,4.7,671,,,,,,1582355,2508,92
tt2567026,魔境夢遊：時光怪客,魔境夢遊：時光怪客/魔境夢遊/時光怪客,Alice Through the Looking Glass,2016/5/27,"USA,UK",6.2,"Adventure,Family,Fantasy",170000000,113,James Bobin,0,2,7,7.075,Mia Wasikowska,0,6,38,6.8,Johnny Depp,0,75,133,7.45,Helena Bonham Carter,0,43,84,7.675,4.5,199,,,,,,132525,295,10
tt4136084,走音天后,走音天后/走音,Florence Foster Jenkins,2016/5/27,UK,6.9,"Biography,Comedy,Drama",29000000,111,Stephen Frears,0,65,66,7.525,Meryl Streep,0,166,341,7.275,Hugh Grant,0,17,29,6.95,Simon Helberg,0,4,12,7.275,4.4,140,,,,,,144930,216,6
tt3949660,忍者龜：破影而出,忍者龜：破影而出/忍者龜/破影而出,Teenage Mutant Ninja Turtles: Out of the Shadows,2016/6/3,"USA,Hong Kong,China,Canada",6,"Action,Adventure,Comedy",135000000,112,Dave Green,0,2,1,6.725,Megan Fox,0,7,21,6,Will Arnett,0,6,21,7.7,Tyler Perry,0,12,40,5.025,4.3,257,,,,,,536340,827,27
tt3110958,出神入化2,出神入化2,Now You See Me 2,2016/6/8,"France,USA",6.5,"Action,Adventure,Comedy",90000000,129,Jon M. Chu,0,0,1,5.025,Jesse Eisenberg,0,21,56,7.325,Mark Ruffalo,0,29,106,7.925,Woody Harrelson,0,21,73,7.725,4.1,655,,,,,,641325,1282,44
tt3065204,厲陰宅2,厲陰宅2,The Conjuring 2,2016/6/8,"Canada,USA",7.4,"Horror,Mystery,Thriller",40000000,134,James Wan,0,14,11,6.975,Vera Farmiga,0,18,76,7.725,Patrick Wilson,0,2,16,7.325,Madison Wolfe,0,0,0,6.9,4.7,809,,,,,,674444,1209,63
tt0803096,魔獸：崛起,魔獸：崛起/魔獸/崛起,Warcraft,2016/6/8,"China,Canada,Japan,USA",6.9,"Action,Adventure,Fantasy",160000000,123,Duncan Jones,0,13,13,7.175,Travis Fimmel,0,0,1,7.075,Paula Patton,0,1,12,7.15,Ben Foster,0,7,30,7.425,4.6,840,,,,,,1188945,2861,66
tt1985949,憤怒鳥玩電影,憤怒鳥玩電影/憤怒鳥,Angry Birds,2016/6/8,"Finland,USA",6.3,"Animation,Action,Adventure",73000000,97,Clay Kaytis,0,0,2,7.325,Jason Sudeikis,0,1,6,7.075,Josh Gad,0,7,4,7.05,Danny McBride,0,2,14,7.175,4.1,115,,,,,,312151,628,50
tt2674426,我就要你好好的,我就要你好好的,Me Before You,2016/6/17,"UK,USA",7.4,"Drama,Romance",20000000,106,Thea Sharrock,0,1,2,7.966666667,Emilia Clarke,0,4,26,7.15,Sam Claflin,0,1,10,6.7,Janet McTeer,0,9,28,6.925,4.4,730,,,,,,171602,609,9
tt1628841,ID4星際重生,ID4星際重生/ID4/星際重生,Independence Day: Resurgence,2016/6/24,USA,5.3,"Action,Adventure,Sci-Fi",165000000,120,Roland Emmerich,0,16,16,6,Liam Hemsworth,0,6,16,6.675,Jeff Goldblum,0,9,24,7.425,Bill Pullman,0,7,2,7.125,4.6,635,,,,,,660860,1017,57
tt2709768,寵物當家,寵物當家,The Secret Life of Pets,2016/6/29,"Japan,USA",6.6,"Animation,Adventure,Comedy",75000000,87,Chris Renaud,0,0,16,7.025,Louis C.K.,0,24,82,8.45,Eric Stonestreet,0,7,22,7.175,Kevin Hart,0,15,26,6.425,4.3,262,,,,,,1096306,2352,84
tt0918940,泰山傳奇,泰山傳奇/泰山,The Legend of Tarzan,2016/6/29,"UK,Canada,USA",6.3,"Action,Adventure,Drama",180000000,110,David Yates,0,15,18,7.7,Alexander Skarsg疇rd,0,8,10,7.15,Rory J. Saper,0,0,0,7,Christian Stevens,0,0,0,6.3,4.1,310,,,,,,452272,274,24
tt2277860,海底總動員2：多莉去哪兒,海底總動員2：多莉去哪兒/海底總動員2/多莉去哪兒,Finding Dory,2016/7/7,USA,7.4,"Animation,Adventure,Comedy",200000000,97,Andrew Stanton,0,32,62,8.175,Ellen DeGeneres,0,86,69,7.575,Albert Brooks,0,28,31,7.9,Ed O'Neill,0,10,17,7.3,4.5,331,,,,,,214265,257,19
tt5112622,寒戰2,寒戰2,Han zhan II,2016/7/8,"Hong Kong,China",6.7,"Action,Crime,Drama",NA,110,Lok Man Leung,0,2,3,6.15,Aaron Kwok,0,5,16,6.7,Tony Ka Fai Leung,0,13,29,6.875,Yun-Fat Chow,0,9,27,7.675,4.5,709,,,,,,346442,491,41
tt4094724,國定殺戮日：大選之年,國定殺戮日：大選之年/國定殺戮日/大選之年,The Purge: Election Year,2016/7/8,"USA,France",6,"Action,Horror,Sci-Fi",10000000,108,James DeMonaco,0,1,4,6.45,Frank Grillo,0,0,2,7.325,Elizabeth Mitchell,0,4,12,7.2,Mykelti Williamson,0,0,9,7.9,4.3,160,,,,,,221786,455,30
tt1289401,魔鬼剋星,魔鬼剋星,Ghostbusters,2016/7/14,"USA,Australia",5.3,"Action,Comedy,Fantasy",144000000,116,Paul Feig,0,7,7,6.425,Melissa McCarthy,0,25,70,7.025,Kristen Wiig,0,11,65,7.375,Kate McKinnon,0,8,23,6.65,3.9,243,,,,,,80735,118,19
tt5827496,六弄咖啡館,六弄咖啡館/六弄,At Cafe 6,2016/7/15,Taiwan,6.3,"Comedy,Romance",NA,103,Neal Wu,0,0,0,6.3,Zijian Dong,0,1,2,6.525,Cherry Ngan,0,0,4,6.275,Po-Hung Lin,0,1,0,6.15,4.4,1401,,,,,,584419,1079,141
tt1489889,中央情爆員,中央情爆員/情爆員,Central Intelligence,2016/7/15,USA,6.3,"Action,Comedy,Crime",50000000,107,Rawson Marshall Thurber,0,0,2,6.35,Dwayne Johnson,0,9,43,6.65,Kevin Hart,0,15,26,6.425,Danielle Nicolet,0,0,2,7.35,4.2,155,,,,,,251931,705,22
tt2660888,星際爭霸戰：浩瀚無垠,星際爭霸戰：浩瀚無垠/星際爭霸戰/浩瀚無垠,Star Trek: Beyond,2016/7/21,"USA,Hong Kong,China",7.1,"Action,Adventure,Sci-Fi",185000000,122,Justin Lin,0,3,6,7.025,Chris Pine,0,7,25,7.625,Zachary Quinto,0,10,23,7.55,Karl Urban,0,8,8,7.675,4.6,323,,,,,,291714,289,9
tt4786282,鬼關燈,鬼關燈/關燈,Lights Out,2016/7/21,USA,6.3,Horror,4900000,81,David F. Sandberg,0,4,2,6.95,Teresa Palmer,0,0,7,6.875,Gabriel Bateman,0,0,0,6.9,Maria Bello,0,18,19,7.325,4,239,,,,,,253120,85,6
tt3416828,冰原歷險記：笑星撞地球,冰原歷險記：笑星撞地球/冰原歷險記/笑星撞地球,Ice Age: Collision Course,2016/7/22,USA,5.7,"Animation,Adventure,Comedy",105000000,94,Mike Thurmeier,0,0,1,6.725,Ray Romano,0,15,47,7.3,Denis Leary,0,3,17,7.05,John Leguizamo,0,12,21,7.2,3.5,68,,,,,,159334,535,11
tt4196776,神鬼認證：傑森包恩,神鬼認證：傑森包恩/神鬼認證/傑森包恩,Jason Bourne,2016/7/28,"UK,China,USA",6.6,"Action,Thriller",120000000,123,Paul Greengrass,0,35,65,7.575,Matt Damon,0,35,139,8.275,Tommy Lee Jones,0,41,89,7.325,Alicia Vikander,0,51,55,7.175,4.3,456,,,,,,322059,548,19
tt4954660,名偵探柯南：純黑的惡夢,名偵探柯南：純黑的惡夢/名偵探柯南/純黑的惡夢,Meitantei Conan: Junkoku no naitomea,2016/7/29,Japan,7.1,"Animation,Mystery,Thriller",NA,112,K繫bun Shizuno,0,0,1,7.15,Kappei Yamaguchi,0,1,0,8.25,Rikiya Koyama,0,0,0,7.925,Minami Takayama,0,0,0,8.15,4.7,651,,,,,,376461,1041,32
tt1386697,自殺突擊隊,自殺突擊隊,Suicide Squad,2016/8/5,USA,6.2,"Action,Adventure,Fantasy",175000000,123,David Ayer,0,0,5,7.3,Will Smith,0,60,118,7.4,Jared Leto,0,49,34,8.075,Margot Robbie,0,8,21,6.65,4.2,863,,,,,,847420,2337,73
tt3691740,吹夢巨人,吹夢巨人/巨人,The BFG,2016/8/11,"USA,India",6.4,"Adventure,Family,Fantasy",140000000,117,Steven Spielberg,0,180,180,8.175,Mark Rylance,0,20,35,7.25,Ruby Barnhill,0,0,4,6.6,Penelope Wilton,0,3,4,7.35,4.3,149,,,,,,126265,306,9
tt5735582,樓下的房客,樓下的房客,Lou xia de fang ke,2016/8/12,Taiwan,4.9,"Drama,Fantasy,Mystery",NA,110,Adam Tsuei,0,0,2,5.55,Simon Yam,0,6,17,6.9,Yu-Wei Shao,0,0,0,6.4,Xing Li,0,0,1,5.633333333,3.5,666,,,,,,703569,894,90
tt5842624,危城,危城,Wei cheng,2016/8/12,"Hong Kong,China",6.5,Action,32000000,120,Benny Chan,0,2,8,6.85,Sammo Kam-Bo Hung,0,9,21,7,Tin Chiu Hung,0,0,0,5.875,Shuying Jiang,0,1,3,5.7,4.5,470,,,,,,289640,204,21
tt2638144,賓漢,賓漢,Ben-Hur,2016/8/18,USA,5.7,"Action,Adventure,Drama",100000000,123,Timur Bekmambetov,0,5,11,6.4,Jack Huston,0,8,4,6.6,Toby Kebbell,0,2,4,7.1,Rodrigo Santoro,0,18,14,7.05,4,180,,,,,,144851,220,19
tt4052882,絕鯊島,絕鯊島,The Shallows,2016/8/18,"USA,Australia,Spain",6.3,"Drama,Horror,Thriller",17000000,86,Jaume Collet-Serra,0,0,4,6.8,Blake Lively,0,8,21,6.95,?scar Jaenada,0,14,9,6.475,Angelo Josue Lozano Corzo,0,0,0,6.3,4.3,203,,,,,,121336,144,10
tt5251328,航海王電影：GOLD,航海王電影：GOLD/航海王電影/GOLD,One Piece Film: Gold,2016/8/19,Japan,7.4,"Animation,Action,Adventure",NA,120,Hiroaki Miyamoto,0,0,0,7.466666667,Mayumi Tanaka,0,0,0,8.3,Kazuya Nakai,0,0,0,8.45,Akemi Okamura,0,0,0,7.75,4.2,139,,,,,,294133,478,17
tt4042994,如果這世界貓消失了,如果這世界貓消失了/貓消失了,Sekai kara neko ga kietanara,2016/8/19,Japan,7.1,"Drama,Fantasy",NA,103,Akira Nagai,0,0,0,7.333333333,Gaku Hamada,0,0,0,6.8,Mieko Harada,0,15,6,7.675,Anna Ishii,0,1,0,6.775,4.1,114,,,,,,90009,307,6
tt3522806,極速秒殺2,極速秒殺2,Mechanic: Resurrection,2016/8/25,"France,USA",5.7,"Action,Adventure,Crime",40000000,98,Dennis Gansel,0,12,8,6.75,Jason Statham,0,1,3,7.575,Jessica Alba,0,15,39,6.25,Tommy Lee Jones,0,41,89,7.325,4.1,253,,,,,,209852,309,8
tt5700672,屍速列車,屍速列車/屍速,Busanhaeng,2016/9/2,South Korea,7.5,"Action,Drama,Horror",NA,118,Sang-ho Yeon,0,23,15,6.8,Yoo Gong,0,2,7,7.775,Yu-mi Jung,0,4,5,7.175,Dong-seok Ma,0,1,7,6.95,4.4,2235,,,,,,1756050,2530,184
tt3263904,薩利機長：哈德遜奇蹟,薩利機長：哈德遜奇蹟/薩利機長/哈德遜奇蹟,Sully,2016/9/8,USA,7.5,"Biography,Drama",60000000,96,Clint Eastwood,0,141,155,8.15,Tom Hanks,0,79,139,7.95,Aaron Eckhart,0,7,17,7.2,Laura Linney,0,38,87,7.625,4.6,499,,,,,,360448,340,4
tt3531824,玩命直播,玩命直播,Nerve,2016/9/9,USA,6.6,"Adventure,Crime,Mystery",20000000,96,Henry Joost,0,1,4,6.675,Emma Roberts,0,6,26,6.25,Dave Franco,0,3,2,7.25,Emily Meade,0,1,1,7.475,4.1,146,,,,,,325599,577,29
tt1473832,BJ有喜,BJ有喜/BJ,Bridget Jones's Baby,2016/9/16,"Ireland,UK,France,USA",6.6,"Comedy,Romance",35000000,118,Sharon Maguire,0,1,5,6.525,Ren矇e Zellweger,0,28,73,7.3,Gemma Jones,0,3,6,6.65,Jim Broadbent,0,22,52,7.525,4.3,140,,,,,,120474,245,10
tt3774114,神鬼駭客：史諾登,神鬼駭客：史諾登/神鬼駭客/史諾登,Snowden,2016/9/23,"France,Germany,USA",7.3,"Biography,Drama,Thriller",40000000,134,Oliver Stone,0,57,50,7.65,Joseph Gordon-Levitt,0,21,63,8.075,Shailene Woodley,0,33,65,6.7,Melissa Leo,0,46,71,7.55,3.4,143,,,,,,112439,313,13
tt6072662,我的蛋男情人,我的蛋男情人/蛋男情人,My Egg Boy,2016/9/23,"Taiwan,Sweden",6,"Comedy,Drama,Romance",NA,112,Tien-Yu Fu,0,0,2,6.4,Ariel Lin,0,3,1,5.3,Rhydian Vaughan,0,0,1,6.2,Huai-Yun Zhan,0,0,1,4.7,3.7,293,,,,,,182154,338,11
tt1935859,怪奇孤兒院,怪奇孤兒院/孤兒院,Miss Peregrine's Home for Peculiar Children,2016/9/27,"UK,Belgium,USA",6.7,"Adventure,Drama,Family",110000000,127,Tim Burton,0,21,68,7.55,Eva Green,0,5,19,6.775,Asa Butterfield,0,5,17,7.175,Samuel L. Jackson,0,36,81,8.225,4.4,410,,,,,,375410,1158,13
tt4160708,暫時停止呼吸,暫時停止呼吸/暫停呼吸,Don't Breathe,2016/9/27,USA,7.1,"Crime,Horror,Thriller",9900000,88,Fede Alvarez,0,1,6,6.675,Stephen Lang,0,5,11,6.575,Jane Levy,0,0,2,6.933333333,Dylan Minnette,0,3,6,7.175,4.1,226,,,,,,552463,500,49
tt1860357,怒火地平線,怒火地平線,Deepwater Horizon,2016/9/29,"Hong Kong,USA",7.2,"Action,Drama,Thriller",110000000,107,Peter Berg,0,3,16,7.075,Mark Wahlberg,0,20,64,7.825,Kurt Russell,0,6,11,7.55,Douglas M. Griffin,0,0,0,7.025,4,160,,,,,,116528,159,14
tt3631112,列車上的女孩,列車上的女孩,The Girl on the Train,2016/10/7,USA,6.5,"Crime,Drama,Mystery",45000000,112,Tate Taylor,0,12,16,6.625,Emily Blunt,0,16,66,7.425,Haley Bennett,0,0,1,6.925,Rebecca Ferguson,0,4,5,6.85,4,122,,,,,,159173,265,17
tt4624424,送子鳥,送子鳥,Storks,2016/10/7,USA,6.8,"Animation,Adventure,Comedy",70000000,87,Nicholas Stoller,0,2,7,6.65,Andy Samberg,0,5,28,7.55,Katie Crown,0,0,2,6.575,Kelsey Grammer,0,24,62,7.125,4.3,109,,,,,,673374,732,36
tt2404435,絕地7騎士,絕地7騎士/7騎士/七騎士,The Magnificent Seven,2016/10/7,USA,6.9,"Action,Adventure,Western",90000000,132,Antoine Fuqua,0,4,7,7.125,Denzel Washington,0,79,157,7.7,Chris Pratt,0,15,30,7.725,Ethan Hawke,0,22,104,7.9,4.2,206,,,,,,64956,84,2
tt3062096,地獄,地獄,Inferno,2016/10/12,"USA,Hungary",6.2,"Action,Adventure,Crime",75000000,121,Ron Howard,0,37,71,7.875,Tom Hanks,0,79,139,7.95,Felicity Jones,0,9,39,7.125,Irrfan Khan,0,16,23,7.475,4.2,278,,,,,,250519,262,19
tt2140479,會計師,會計師,The Accountant,2016/10/14,USA,7.4,"Action,Crime,Drama",44000000,128,Gavin O'Connor,0,3,2,7.25,Ben Affleck,0,71,105,7.925,Anna Kendrick,0,14,67,7.075,J.K. Simmons,0,59,34,7.65,4.6,609,,,,,,795205,404,16
tt5311514,你的名字,你的名字/名字,Kimi no na wa.,2016/10/21,Japan,8.5,"Animation,Drama,Fantasy",NA,106,Makoto Shinkai,0,7,9,7.75,Ry羶nosuke Kamiki,0,2,1,8.225,Mone Kamishiraishi,0,1,0,7.575,Ry繫 Narita,0,0,0,6,4.7,1601,,,,,,2294950,9786,338
tt3393786,神隱任務：永不回頭,神隱任務：永不回頭/神隱任務/神務,Jack Reacher: Never Go Back,2016/10/21,"China,USA",6.1,"Action,Adventure,Crime",60000000,118,Edward Zwick,0,22,21,6.975,Tom Cruise,0,49,76,7.15,Cobie Smulders,0,0,1,7.925,Aldis Hodge,0,2,4,7.8,4,289,,,,,,593089,500,27
tt4361050,碟仙：惡靈始源,碟仙：惡靈始源/碟仙/惡靈始源,Ouija: Origin of Evil,2016/10/21,"USA,China,Japan",6.1,"Horror,Thriller",9000000,99,Mike Flanagan,0,25,12,6.475,Elizabeth Reaser,0,3,3,5.7,Lulu Wilson,0,0,0,6.225,Annalise Basso,0,0,4,6.875,3.6,92,,,,,,188307,162,7
tt1211837,奇異博士,奇異博士,Doctor Strange,2016/10/25,USA,7.5,"Action,Adventure,Fantasy",165000000,115,Scott Derrickson,0,1,5,6.8,Benedict Cumberbatch,0,31,98,7.55,Chiwetel Ejiofor,0,53,74,7.825,Rachel McAdams,0,21,47,7.45,4.5,738,,,,,,930952,2163,71
tt2513074,比利‧林恩的中場戰事,比利‧林恩的中場戰事/比利‧林恩/比利林恩,Billy Lynn's Long Halftime Walk,2016/11/11,"UK,China,USA",6.3,"Drama,War",40000000,113,Ang Lee,0,99,94,7.3,Joe Alwyn,0,0,0,6.3,Garrett Hedlund,0,2,3,7.025,Arturo Castro,0,0,1,6.6,4.1,494,,,,,,132331,329,10
tt3183660,怪獸與牠們的產地,怪獸與牠們的產地,Fantastic Beasts and Where to Find Them,2016/11/17,"UK,USA",7.4,"Adventure,Family,Fantasy",180000000,133,David Yates,0,15,18,7.7,Eddie Redmayne,0,21,69,7.45,Katherine Waterston,0,1,10,6.95,Alison Sudol,0,0,0,6.2,4.6,781,,,,,,144133,651,3
tt2119532,鋼鐵英雄,鋼鐵英雄,Hacksaw Ridge,2016/11/25,"Australia,USA",8.2,"Biography,Drama,History",40000000,139,Mel Gibson,0,39,39,7.475,Andrew Garfield,0,18,79,7.4,Sam Worthington,0,6,17,6.5,Luke Bracey,0,0,0,6.4,4.7,1010,,,,,,445472,1477,28
tt3717252,決戰異世界：弒血之戰,決戰異世界：弒血之戰/決戰異世界/弒血之戰,Underworld: Blood Wars,2016/12/1,USA,5.8,"Action,Adventure,Fantasy",35000000,91,Anna Foerster,0,1,2,6.9,Kate Beckinsale,0,9,32,6.825,Theo James,0,3,7,6.275,Tobias Menzies,0,0,2,7.525,3.9,202,,,,,,238166,437,8
tt3783958,樂來越愛你,樂來越愛你/樂來,La La Land,2016/12/9,"USA,Hong Kong",8.1,"Comedy,Drama,Music",30000000,128,Damien Chazelle,0,60,112,7.9,Ryan Gosling,0,32,136,7.775,Emma Stone,0,54,109,7.775,Rosemarie DeWitt,0,8,24,6.675,4.2,487,,,,,,589522,654,19
tt3470600,歡樂好聲音,歡樂好聲音,Sing,2016/12/9,"Japan,USA",7.1,"Animation,Comedy,Family",75000000,108,Garth Jennings,0,2,6,7.3,Matthew McConaughey,0,46,79,8.05,Reese Witherspoon,0,52,94,6.875,Seth MacFarlane,0,22,50,6.9,4.4,195,,,,,,645637,1588,51
tt3748528,星際大戰外傳：俠盜一號,星際大戰外傳：俠盜一號/星際大戰外傳/俠盜一號,Rogue One,2016/12/14,USA,7.9,"Action,Adventure,Sci-Fi",200000000,133,Gareth Edwards,0,13,12,7.2,Felicity Jones,0,9,39,7.125,Diego Luna,0,15,20,7.35,Alan Tudyk,0,10,14,7.6,4,298,,,,,,851568,883,173
tt4682786,最美的安排,最美的安排,Collateral Beauty,2016/12/15,USA,6.8,"Drama,Romance",36000000,97,David Frankel,0,6,6,6.75,Will Smith,0,60,118,7.4,Edward Norton,0,46,77,7.925,Kate Winslet,0,82,154,7.775,4.3,208,,,,,,715113,1019,16
tt1355644,星際過客,星際過客,Passengers,2016/12/21,USA,7,"Drama,Sci-Fi,Thriller",110000000,116,Morten Tyldum,0,33,17,7.35,Jennifer Lawrence,0,114,170,7.375,Chris Pratt,0,15,30,7.725,Michael Sheen,0,14,30,7.225,4.3,424,,,,,,245675,267,5
tt2094766,刺客教條,刺客教條,Assassin's Creed,2016/12/23,"USA,France,UK,Hong Kong,Taiwan,Malta",5.8,"Action,Adventure,Fantasy",125000000,115,Justin Kurzel,0,7,15,6.275,Michael Fassbender,0,76,136,7.775,Marion Cotillard,0,76,113,8.075,Jeremy Irons,0,28,31,7.3,3.4,343,,,,,,578060,4072,27
tt4501244,惱爸偏頭痛,惱爸偏頭痛/偏頭痛/惱爸,Why Him?,2016/12/23,"USA,Cambodia",6.2,Comedy,38000000,111,John Hamburg,0,0,1,6.525,Zoey Deutch,0,1,2,6.825,James Franco,0,36,93,7.2,Tangie Ambrose,0,0,0,7.075,4.2,258,,,,,,143004,186,9
tt3824950,擺渡人,擺渡人/擺渡,See You Tomorrow,2016/12/29,China,5,"Comedy,Drama,Romance",NA,128,Jiajia Zhang,0,0,2,5.333333333,Tony Chiu-Wai Leung,0,21,22,7.9,Takeshi Kaneshiro,0,1,1,7.675,Eason Chan,0,0,13,5.825,4.1,388,,,,,,513579,611,95
tt2034800,長城,長城,The Great Wall,2016/12/30,"USA,China,Hong Kong,Australia,Canada",6,"Action,Adventure,Fantasy",150000000,103,Yimou Zhang,0,61,44,7.125,Matt Damon,0,35,139,8.275,Tian Jing,0,0,0,6.1,Willem Dafoe,0,34,34,7.9,4,724,,,,,,895307,796,305
tt4649466,金牌特務,金牌特務/金牌,Kingsman: The Golden Circle,2017/9/20,"UK,USA",7.2,"Action,Adventure,Comedy",104000000,141,Matthew Vaughn,0,5,18,7.725,Taron Egerton,0,1,6,7.35,Colin Firth,0,66,55,7.75,Mark Strong,0,3,7,7.6,4.7,1269,,,,,,477359,716,23
tt6159026,角頭,角頭,Gatao,NA,Taiwan,5.1,Action,NA,105,Joe Lee,0,0,0,5.35,Alien Huang,0,0,0,6.133333333,Sunny Wang,0,0,0,3.566666667,Peng Sun,0,0,0,5.1,2.9,737,,,,,,1486724,2119,592
tt5540084,灣生回家,灣生/灣生回家,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,1252,,,,,,353029,1904,34
tt5875102,老鷹想飛,老鷹/想飛/老鷹想飛,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,145,,,,,,555096,2800,44
