0,0,0,0,0
8,126,67,16,209
18,170,101,8,279
10,102,50,26,178
20,331,570,97,998
12,388,176,9,573
4,24,15,1,40
6,64,26,3,93
9,86,39,5,130
7,66,79,4,149
4,65,22,5,92
0,0,0,0,0
7,325,102,32,459
9,65,20,3,88
2,8,3,0,11
37,481,436,99,1016
1,12,1,0,13
15,271,141,16,428
2,19,5,0,24
7,53,22,3,78
10,23,8,1,32
2,9,1,1,11
1,26,6,0,32
8,70,43,0,113
4,85,42,3,130
0,0,0,0,0
4,15,16,3,34
4,11,3,0,14
1,4,1,0,5
2,17,2,0,19
59,1152,840,46,2038
1,5,3,0,8
15,278,142,27,447
1,0,0,0,0
11,135,52,21,208
1,11,7,1,19
3,18,0,0,18
7,36,25,14,75
127,3206,3058,262,6526
3,61,65,4,130
3,40,30,5,75
6,22,14,2,38
15,200,200,18,418
2,1,4,0,5
3,10,5,1,16
1,3,1,1,5
3,79,33,0,112
3,56,10,1,67
22,305,166,13,484
1,8,6,0,14
